,precision,recall,f1-score,support
-1.0,0.9259046128349139,0.8947704034344948,0.9100713049445888,134867.0
1.0,0.9014991671293726,0.9307965172524992,0.9159136183340679,139545.0
accuracy,0.9130905353993266,0.9130905353993266,0.9130905353993266,0.9130905353993266
macro avg,0.9137018899821432,0.912783460343497,0.9129924616393283,274412.0
weighted avg,0.9134938657794653,0.9130905353993266,0.9130422596474985,274412.0
