,precision,recall,f1-score,support
-1.0,0.9425092558794389,0.26803443392379156,0.41737433682983005,134867.0
1.0,0.5818061662811682,0.9841986455981941,0.731304063066589,139545.0
accuracy,0.6322208941299943,0.6322208941299943,0.6322208941299943,0.6322208941299943
macro avg,0.7621577110803035,0.6261165397609929,0.5743391999482095,274412.0
weighted avg,0.7590831934696656,0.6322208941299943,0.5770150363900115,274412.0
