,precision,recall,f1-score,support
-1.0,0.4386886549076074,0.8656721939813684,0.5822937275249792,135147.0
1.0,0.7311673503235647,0.2480283317426031,0.3704064906470017,199070.0
accuracy,0.49778437362551875,0.49778437362551875,0.49778437362551875,0.49778437362551875
macro avg,0.5849280026155861,0.5568502628619858,0.47635010908599046,334217.0
weighted avg,0.612898027550096,0.49778437362551875,0.45608712449371813,334217.0
