,precision,recall,f1-score,support
0.0,0.8881112574180631,0.7279555266426163,0.8000975015234613,135272.0
1.0,0.774970342558734,0.910838004887164,0.8374290490759034,139140.0
accuracy,0.8206856842995204,0.8206856842995204,0.8206856842995204,0.8206856842995204
macro avg,0.8315407999883986,0.8193967657648902,0.8187632752996823,274412.0
weighted avg,0.8307434058170869,0.8206856842995204,0.8190263804589554,274412.0
