,precision,recall,f1-score,support
-1.0,0.4043690177339872,1.0,0.5758728833059203,135147.0
1.0,0.0,0.0,0.0,199070.0
accuracy,0.4043690177339872,0.4043690177339872,0.4043690177339872,0.4043690177339872
macro avg,0.2021845088669936,0.5,0.2879364416529602,334217.0
weighted avg,0.16351430250314966,0.4043690177339872,0.23286515216205403,334217.0
