,precision,recall,f1-score,support
-1.0,0.6323784279743093,0.9198692044755203,0.7495008261666771,134867.0
1.0,0.8618595970958176,0.4831774696334516,0.6192113951427377,139545.0
accuracy,0.6978011165692463,0.6978011165692463,0.6978011165692463,0.6978011165692463
macro avg,0.7471190125350635,0.701523337054486,0.6843561106547074,274412.0
weighted avg,0.7490750365229911,0.6978011165692463,0.6832455652734377,274412.0
