,precision,recall,f1-score,support
-1.0,0.8210071270008179,0.052103183135978406,0.09798781253050352,134867.0
1.0,0.5191327538150783,0.9890214626106274,0.6808765706786911,139545.0
accuracy,0.5285483142136641,0.5285483142136641,0.5285483142136641,0.5285483142136641
macro avg,0.6700699404079481,0.520562322873303,0.3894321916045973,274412.0
weighted avg,0.6674968599344941,0.5285483142136641,0.39440054869287555,274412.0
