,precision,recall,f1-score,support
-1.0,0.0,0.0,0.0,134867.0
1.0,0.5085236797224612,1.0,0.6742004604342963,139545.0
accuracy,0.5085236797224612,0.5085236797224612,0.5085236797224612,0.5085236797224612
macro avg,0.2542618398612306,0.5,0.33710023021714813,274412.0
weighted avg,0.2585963328384722,0.5085236797224612,0.3428468990106259,274412.0
