,precision,recall,f1-score,support
-1.0,0.5814403829416884,0.9907167802353429,0.7328055458815851,134867.0
1.0,0.9719358020263607,0.3107241391665771,0.47090254511096513,139545.0
accuracy,0.6449244202148594,0.6449244202148594,0.6449244202148594,0.6449244202148594
macro avg,0.7766880924840245,0.65072045970096,0.6018540454962751,274412.0
weighted avg,0.7800165503693905,0.6449244202148594,0.5996216681993548,274412.0
