,precision,recall,f1-score,support
-1.0,0.36217615564141287,0.1363260545392804,0.19808957849515424,135462.0
1.0,0.7121086848464268,0.8989727038050653,0.7947038235669691,321913.0
accuracy,0.6730975676414321,0.6730975676414321,0.6730975676414321,0.6730975676414321
macro avg,0.5371424202439198,0.5176493791721729,0.4963967010310617,457375.0
weighted avg,0.6084682141797537,0.6730975676414321,0.6180029569565987,457375.0
